username,email,role,id_code,password
lucy.cooper,lucy.cooper@courpera.com,teacher,I83811,5w9#.VdA[nW8neu.A
eliana.nguyen,eliana.nguyen@courpera.com,teacher,I14593,+Xhm8WdHW(cKz2y
aiden.reed,aiden.reed@courpera.com,teacher,I03279,"TZ6Qe,:Mu-zVG6("
elias.anderson,elias.anderson@courpera.com,teacher,I97197,{rbj[42=V)WZ
savannah.hernandez,savannah.hernandez@courpera.com,teacher,I36049,6#b8s2eRwwhJ&@_S
owen.bennett,owen.bennett@courpera.com,teacher,I32099,96wNGdPyH73%Gh?
ava.wood,ava.wood@courpera.com,teacher,I29257,V!8qfpk9Hd$B{a*
jack.rodriguez,jack.rodriguez@courpera.com,teacher,I18290,?_k8t$}cStkVc5rg
mia.young,mia.young@courpera.com,teacher,I96531,P%cp3kcw]yKQVm
aria.cruz,aria.cruz@courpera.com,teacher,I13435,FPUFsuh+4czyy
eliana.smith,eliana.smith@courpera.com,student,S96543,hbpLXMgeDU^gs-v9F
scarlett.hughes,scarlett.hughes@courpera.com,student,S43541,^]nhTW79#[_kw*)#
alexander.ruiz,alexander.ruiz@courpera.com,student,S53965,e:y8rCq+84:[G*3A&
sophia.chavez,sophia.chavez@courpera.com,student,S87807,jCebxFLhJ([mGD8^8L
levi.howard,levi.howard@courpera.com,student,S96346,xYkzP+:9BJ!)2w38F*
lucas.scott,lucas.scott@courpera.com,student,S32528,Lg_nBw5{n_ksFa{*7?
aaliyah.peterson,aaliyah.peterson@courpera.com,student,S34971,upq.a?=ND&4n&
landon.morales,landon.morales@courpera.com,student,S20867,*JsK3GRh#}rV:LV
aubrey.gonzalez,aubrey.gonzalez@courpera.com,student,S91918,bEq^KpkFa$?8p.f[f
charles.ruiz,charles.ruiz@courpera.com,student,S14169,.:mP:!F6fYmC
elena.nelson,elena.nelson@courpera.com,student,S50141,[a_-cQ7(QG7A%6
james.brown,james.brown@courpera.com,student,S05076,8]-$^&9Hhm(4Ud$Vq
natalie.morris,natalie.morris@courpera.com,student,S61695,8^E4@S3N)(.Vhv
daniel.baker,daniel.baker@courpera.com,student,S29155,HF!upVc@rDN.5MfXN
julian.howard,julian.howard@courpera.com,student,S26159,93c_$9r4PjFg:rb&
caleb.rivera,caleb.rivera@courpera.com,student,S60333,SY)[zU#n8=bu4m
ezra.campbell,ezra.campbell@courpera.com,student,S45831,rNJ%f^TQD7u$7F{ex
david.wood,david.wood@courpera.com,student,S40002,n53$H[n?yMHadR
hudson.ramirez,hudson.ramirez@courpera.com,student,S29832,Cku8BJD=Gf.gSYyS3?
elijah.morris,elijah.morris@courpera.com,student,S29220,"=,c)4Eq?$!]N(3Qu"
muhammad.martin,muhammad.martin@courpera.com,student,S03102,9G7Tysy7?p?b
harper.scott,harper.scott@courpera.com,student,S86512,6AMxD6fAUJZ)}U
ava.martin,ava.martin@courpera.com,student,S25314,p!=x*5j.sQ{P
gabriel.thomas,gabriel.thomas@courpera.com,student,S52228,K63QF=86Cnq9$t:!:X
zoe.flores,zoe.flores@courpera.com,student,S43026,"g.KP%j,GbUVYnU7}Y("
isla.davis,isla.davis@courpera.com,student,S36518,wbYT#^:aPu9HLVF))
mia.nelson,mia.nelson@courpera.com,student,S09100,3{=S9?es-LM)75SXv
willow.baker,willow.baker@courpera.com,student,S36586,a2Zr+sfpg^#+g@
hazel.miller,hazel.miller@courpera.com,student,S46026,5GeD4J8)rx+#
luna.moore,luna.moore@courpera.com,student,S84081,89pGg$gQQ=4}rgRJJ
isaac.campbell,isaac.campbell@courpera.com,student,S66769,"J(CwgPTWFp[7,xvyy"
jackson.rogers,jackson.rogers@courpera.com,student,S52387,L+Zm2_J94@(7(wd
sebastian.ruiz,sebastian.ruiz@courpera.com,student,S89066,X_4zUEW}gzD@J8Sx
nathan.scott,nathan.scott@courpera.com,student,S70283,KbRYMzJ&*#x@ptT9
chloe.peterson,chloe.peterson@courpera.com,student,S43405,+SY%x]tK#_:8K.SsZS
henry.brooks,henry.brooks@courpera.com,student,S03618,FUe4c}F?Dk:wL:8D
paislee.davis,paislee.davis@courpera.com,student,S15119,%-tg{mR2Ym7=P
thomas.green,thomas.green@courpera.com,student,S34238,"G?^(*py,9GtNp"
ava.reed,ava.reed@courpera.com,student,S23406,{-5%32wbUJzw
ethan.cox,ethan.cox@courpera.com,student,S76100,"29?CtQDL:s8,^v"
isla.kelly,isla.kelly@courpera.com,student,S34796,P_$Ytc9w=+Tt@{&u3
gianna.bailey,gianna.bailey@courpera.com,student,S05015,b6d&T@jKm#m{+b
elena.nelson2,elena.nelson2@courpera.com,student,S14209,-Yg8MEY+WH6f:E
hannah.chavez,hannah.chavez@courpera.com,student,S78194,w-F6a^Y69}rq
alexander.walker,alexander.walker@courpera.com,student,S56960,[Be2yWRe)6qT3s
isaac.edwards,isaac.edwards@courpera.com,student,S45310,"4*-c,-@SHQT-_#M8e$"
gianna.hughes,gianna.hughes@courpera.com,student,S95492,Tx+Y533L#xW_R8[
wyatt.young,wyatt.young@courpera.com,student,S41115,H?Gd[g3f6#F@$HhE
owen.davis,owen.davis@courpera.com,student,S57200,83e+zrrgZ^L+U
layla.nelson,layla.nelson@courpera.com,student,S79458,Xd{2.rvcd&wB#
charles.morgan,charles.morgan@courpera.com,student,S67034,"LCg]q,FU,ke8}-7"
hannah.perez,hannah.perez@courpera.com,student,S15158,!cdf2TH$J&B2BV)
